Hylak_ID,Bloom Occurrence 1980s,Bloom Occurrence 2010s
9263,0.066,0.058
9264,0.076,0.091
9269,0.108,0.06
927,0.092,0.012
928,0.13,0.369
92806,0.17,0.365
9287,0.158,0.168
92908,0.117,0.205
92925,0.085,0.105
92936,0.169,0.283
9298,0.175,0.164
930,0.109,0.124
9300,0.084,0.097
9304,0.109,0.019
93091,0.139,0.262
931,0.098,0.203
9311,0.078,0.106
93141,0.149,0.168
93161,0.154,0.216
9323,0.192,0.133
9324,0.069,0.066
9328,0.136,0.176
9331,0.105,0.242
9333,0.08,0.081
9335,0.121,0.108
9341,0.082,0.14
9343,0.303,0.392
9347,0.145,0.19
9350,0.132,0.166
9354,0.142,0.204
9355,0.201,0.27
93550,0.161,0.248
9357,0.096,0.106
9358,0.173,0.249
9364,0.106,0.126
9365,0.131,0.133
9372,0.207,0.246
93731,0.184,0.251
9382,0.105,0.073
9396,0.085,0.083
9397,0.193,0.111
9399,0.137,0.152
94,0.395,0.538
940,0.107,0.173
9404,0.107,0.092
9407,0.131,0.158
9416,0.118,0.258
9419,0.263,0.314
9420,0.121,0.01
9422,0.108,0.174
9430,0.104,0.247
9431,0.075,0.081
9434,0.095,0.078
9438,0.233,0.187
9440,0.212,0.07
9441,0.113,0.172
9443,0.192,0.437
9446,0.227,0.394
9450,0.2,0.285
9453,0.191,0.005
9454,0.097,0.138
9455,0.07,0.067
9456,0.209,0.289
9460,0.094,0.125
9461,0.154,0.225
9468,0.235,0.509
9474,0.109,0.082
9476,0.174,0.17
9482,0.222,0.265
9489,0.39,0.484
9490,0.123,0.079
9493,0.079,0.103
9495,0.16,0.198
9496,0.241,0.445
9502,0.135,0
9503,0.202,0.172
9504,0.085,0.141
9505,0.086,0.064
9507,0.095,0.076
95078,0.196,0.282
95161,0.08,0.054
9517,0.078,0.079
952,0.077,0.135
9522,0.171,0.299
95225,0.08,0.038
95288,0.144,0.233
9529,0.083,0.065
953,0.08,0.177
9537,0.102,0.07
9547,0.069,0.076
9554,0.189,0.163
9558,0.119,0.121
9569,0.067,0.056
9590,0.18,0.518
9592,0.261,0.227
960,0.073,0.204
9601,0.173,0.478
9605,0.198,0.339
9622,0.183,0.288
96279,0.087,0.12
9630,0.23,0.345
9632,0.068,0.231
9634,0.256,0.466
9639,0.158,0.181
9643,0.133,0.188
9645,0.171,0.578
9665,0.067,0.009
9666,0.135,0.092
9669,0.181,0.534
9670,0.174,0.314
9671,0.13,0.423
9687,0.118,0.172
9690,0.11,0.18
9691,0.125,0.062
9695,0.21,0.053
97,0.944,0.183
9702,0.174,0.196
97025,0.13,0.115
9703,0.151,0.194
9704,0.133,0.04
97069,0.157,0.107
9712,0.088,0.093
97196,0.207,0.086
9734,0.168,0.386
97359,0.166,0.156
9752,0.129,0.105
9754,0.135,0.446
9756,0.146,0.25
976,0.163,0
9764,0.117,0.034
9765,0.145,0.118
9766,0.07,0.181
9767,0.287,0.056
977,0.078,0.057
9770,0.071,0.052
9771,0.068,0.178
97771,0.123,0.169
978,0.082,0.014
9781,0.128,0.047
9792,0.178,0.137
9794,0.246,0.45
98,0.733,0.118
9813,0.106,0.731
9814,0.171,0.421
98168,0.142,0.112
98248,0.08,0.038
9831,0.349,0.346
9838,0.083,0.066
9845,0.284,0.245
9851,0.141,0.415
9854,0.162,0.317
9866,0.154,0.58
9868,0.205,0.347
9869,0.158,0.444
9874,0.08,0.029
98810,0.112,0.178
9884,0.163,0.193
9890,0.089,0.067
9892,0.144,0.421
99,0.159,0.073
99005,0.09,0.105
9906,0.091,0.203
9908,0.072,0.169
9913,0.08,0.091
9917,0.131,0.137
9920,0.101,0.237
9928,0.093,0.34
9938,0.122,0.109
9953,0.093,0.061
9960,0.098,0.061
99617,0.174,0.218
9976,0.076,0.043
9979,0.07,0.053
99965,0.155,0.089
