Hylak_ID,Bloom Occurrence 1980s,Bloom Occurrence 2010s
121451,0.077,0.004
121453,0.075,0.087
1215,5.308,19.151
121526,0.205,0.28
121529,0.072,0.042
121547,0.158,0.017
121549,0.066,0.03
12156,2.316,0.617
121564,0.089,0.009
121571,0.275,0.094
12165,0.169,0.035
121689,0.129,0
1217,2.237,2.714
121752,0.223,0.008
12178,0.119,0.043
12179,0.257,0.001
121797,0.282,0.167
121811,0.097,0
12186,0.468,0.059
122,3.609,5.183
12202,2.477,0.08
12204,0.809,1.159
12205,0.201,0
122089,0.095,0.074
12209,5.141,5.284
12212,0.194,0.061
12216,0.168,0.025
12223,0.296,0.039
12225,2.468,1.635
122347,0.125,0.154
12238,0.494,0.012
12241,4.254,1.566
12243,1.95,0.257
12246,0.494,0.016
122485,0.173,0.108
122546,0.267,0.185
12263,1.301,0.057
122655,0.162,0.14
122667,0.195,0.055
12269,2.003,2.542
122732,0.142,0.058
122777,0.13,0.08
12280,0.497,0.334
122822,0.266,0.189
12286,0.106,0.049
122868,0.08,0.131
122947,0.066,0
12297,0.617,0.165
122976,0.126,0.09
123,1.711,1.495
123000,0.172,0.002
123002,0.189,0
123004,0.186,0
12301,0.49,0
123019,0.31,0.449
123020,0.347,0.036
123023,0.396,0.078
123027,0.103,0.095
12303,0.106,0.003
12304,1.392,0.165
12306,0.135,0.048
123186,0.383,0.352
12323,1.219,0.545
12328,0.352,0.121
12329,3.134,0.525
12332,0.935,0.154
12342,3.378,1.084
12345,0.161,0.084
12367,0.075,0.003
12373,0.771,0.013
12374,0.829,0.042
12379,0.65,0.027
12384,1.109,0.017
12390,0.084,0.067
12398,0.139,0.029
1240,9.279,18.027
12400,2.15,0.092
12412,0.195,0.025
12414,0.881,0
12424,0.667,0
1243,0.067,0.09
1244,13.17,14.568
12440,0.09,0.099
1245014,0.797,0.679
1247,2.727,4.408
12479,3.364,0.865
12486,0.193,0.036
1249,0.068,0.051
12490,1.37,0.423
12499,0.192,0.075
125,0.836,2.274
12501,7.096,0.767
12505,0.811,0.317
12506,0.836,0.947
1251,15.554,13.166
12512,1.079,0.054
12519,0.276,0.052
12520,0.116,0.119
12523,6.984,7.3
12528,0.867,0.199
12529,0.287,0.19
1253,0.568,1.051
12535,0.14,0.048
12536,4.845,5.229
12541,0.117,0.013
12545,6.22,4.48
1255,24.06,36.602
12557,0.097,0.035
1256,0.599,3.289
12567,3.622,2.937
1257007,2.433,1.937
12571,0.132,0.166
12581,0.218,0.219
1258744,4.204,5.603
1259,9.211,50.594
12590,0.095,0.059
12596,3.926,0.549
12598,17.765,23.032
1260,3.34,5.492
12600,12.379,9.375
12602,3.88,0.128
12603,0.578,0.027
12614,3.414,2.865
12622,0.067,0.002
12623,0.071,0
1262655,0.57,0.719
12628,6.857,7.82
12629,1.173,0.989
12630,3.81,0.169
12632,0.176,0.004
12634,2.091,0.031
12636,0.184,0
12654,0.361,0.256
12657,2.927,0.147
12659,6.686,1.863
12662,3.407,1.048
12669,0.811,0.117
12671,0.079,0.014
12672,3.614,4.2
12677,3.616,1.989
1268,6.711,13.602
12689,10.604,2.054
12692,0.141,0.028
12696,2.132,0.308
12698,0.142,0.018
12703,7.777,11.86
12705,5.096,2.482
12709,14.197,8.285
12717,0.762,0.028
12732,7.149,1.713
12735,4.439,1.058
12738,0.15,0.071
12748,0.203,0.029
12753,0.149,0.074
12754,13.369,15.115
12766,8.339,4.991
12767,0.668,0.305
12768,13.16,8.84
1279492,0.139,0
128,4.041,4.578
12810,1.711,0.655
1284,4.904,29.69
12842,3.954,2.433
1285465,0.498,0.587
1286,0.793,0.774
1286387,7.372,0.523
1289,6.167,7.346
129,1.36,4.51
1293,7.716,11.3
12942,1.383,1.1
1297,5.453,6.213
1301,14.734,40.222
1303,2.553,1.22
13042,0.245,0.196
1314,4.059,19.47
1318823,15.031,22.452
1319,0.623,0.845
132,6.035,26.293
1321,8.799,22.064
1322,3.005,11.963
1323,0.37,0.525
1324132,9.841,10.573
1326,0.834,5.793
1326270,7.129,8.531
1332,6.402,13.665
13327,4.963,5.102
133294,0.365,0.456
13332,20.15,18.393
13349,6.582,13.762
1335297,3.795,7.991
13356,13.859,9.934
13363,0.726,0.644
13364,12.348,6.644
1337,0.877,2.111
13377,9.427,4.039
1338088,10.626,26.063
13390,17.481,10.107
13397,9.591,12.759
13410,10.871,27.78
134116,1.686,0
13428,9.818,9.505
13429,14.205,17.958
134427,0.077,0.085
13448,6.016,9.832
134525,0.127,0
13455,5.248,10.369
1345772,8.142,7.438
134580,0.282,0
1346,0.128,0.235
134604,0.102,0.28
13462,10.016,7.687
134665,1.69,1.802
134961,3.673,7.123
13501,15.856,15.302
13503,7.99,5.643
1350354,0.353,1.314
13507,15.919,17.84
13516,9.171,13.035
135235,0.236,0.338
13535,11.408,21.946
13541,11.031,20.169
1355,0.985,2.931
13551,0.57,0.568
1355143,1.99,3.584
13559,16.108,12.596
1356,2.332,2.88
13568,22.43,16.356
1356998,7.838,10.71
135701,0.365,0
1359,5.181,14.37
13593,24.664,21.403
13597,0.779,1.877
1360870,21.706,31.445
1361,13.308,17.247
13614,14.638,23.274
13617,15.403,16.991
13619,1.281,3.672
1362,2.35,3.78
1363,1.784,5.026
1363328,8.627,25.14
13639,9.097,16.451
136470,0.513,0
1365,0.139,0.132
136569,0.077,0
13665,15.919,18.546
13671,8.895,4.485
13678,0.491,0.625
13680,2.171,8.757
136872,1.776,0
1370011,1.652,5.615
13705,8.194,31.047
13709,10.701,8.153
13718,7.9,2.853
1372657,2.087,20.382
13749,0.627,0.487
1376,0.108,0.358
13771,2.379,7.829
137759,1.115,0
1377599,4.921,17.31
1378340,0.436,12.718
13786,3.55,10.481
13789,0.466,0.58
13792,6.007,9.957
13802,4.075,3.672
13816,3.895,5.134
1384402,1.496,14.219
13849,6.228,2.724
138594,0.491,1.56
138619,0.227,0.51
13875,4.488,2.456
1388,4.532,16.129
1388040,6.097,13.854
13888,2.994,1.94
1388856,6.816,19.858
1388934,5.229,10.37
13904,3.828,4.27
139053,0.655,0.084
13906,1.581,1.24
139060,1.602,7.389
1390672,6.593,45.243
139137,2.138,1.767
13915,6.756,3.205
13918,6.949,9.829
1392,1.949,2.768
139282,0.29,0.209
139339,0.088,0.031
13942,2.39,2.056
139421,4.414,1.285
13948,6.066,5.034
13953,13.678,11.233
13954,0.379,0.55
1396,6.417,30.538
139624,10.149,1.314
13965,14.715,20.223
13968,2.543,1.87
139686,1.251,1.456
